CustomerID,Name,Age,Gender,City,State,Country,PhoneNumber,EmailAddress,CountryRiskLevel,PEPFlag,RegulatorID
CUST00001,Norma Fisher,20,Female,Tammyfort,Montana,China,475-693-8242x1948,blairrachel@example.net,High,No,REG7890
CUST00002,Justin Gomez,40,Male,Cherylborough,Oklahoma,China,578.740.8016x0975,leeashley@example.org,High,Yes,REG8808
CUST00003,Brenda Daniels,57,Female,North Victoriahaven,New York,France,648-941-8583,carlsonpaul@example.net,Medium,Yes,REG2553
CUST00004,Clinton Underwood,75,Female,New Tinaview,New Mexico,France,612-520-1868,pattylawrence@example.com,Medium,No,REG2208
CUST00005,Joanne Keller,45,Female,Christopherville,New York,Australia,001-453-730-4135,gcabrera@example.org,Low,Yes,REG6796
CUST00006,Colleen Montoya,73,Female,North Davidborough,Rhode Island,Australia,001-516-415-1090,mendozajessica@example.org,Low,Yes,REG8253
CUST00007,Allison Coleman,64,Female,Port Jordanbury,California,Australia,+1-645-762-0870x9163,kmassey@example.org,Low,Yes,REG2528
CUST00008,Christina Saunders,33,Female,Port Fernando,North Dakota,Russia,819-672-0769x845,annsmith@example.net,High,Yes,REG6458
CUST00009,Patrick Stephens,33,Male,East Kathleen,New Mexico,Germany,(594)759-9246x610,johnwalsh@example.com,Low,No,REG4632
CUST00010,Megan Baxter,74,Female,South Monicashire,Nebraska,Canada,001-902-771-4278x78900,mary06@example.org,Low,Yes,REG6243
CUST00011,Tonya Irwin,63,Male,North Richard,Utah,France,(650)430-0891x31934,alvarezsandra@example.net,Medium,No,REG5769
CUST00012,Donald Chavez,55,Female,Port Jonathanhaven,Tennessee,Australia,+1-251-924-0003x4855,xbowman@example.net,Low,No,REG9965
CUST00013,James Carter,38,Male,East Joseph,Michigan,Canada,(815)490-0422x945,danny30@example.com,Low,No,REG7306
CUST00014,Joseph Jones,20,Female,Houstonport,Nebraska,UK,318-977-5517,vjohnson@example.net,Medium,No,REG4059
CUST00015,Brittney Jackson,74,Male,Drakeland,California,Canada,633-906-0168,tkramer@example.net,Low,Yes,REG3133
CUST00016,Bradley Robinson,61,Female,Brendaburgh,Nevada,Canada,951.810.8731,jared03@example.net,Low,No,REG9857
CUST00017,Craig Gray,75,Female,North Vanessa,New York,Australia,(596)568-7577,petersonsydney@example.com,Low,No,REG4525
CUST00018,Amanda Hernandez,23,Female,Carrieberg,Missouri,Brazil,001-447-211-8013,alexis75@example.org,Medium,Yes,REG6855
CUST00019,Sheila Murray,72,Male,Williamhaven,North Carolina,Brazil,8919891634,olawson@example.org,Medium,Yes,REG6493
CUST00020,April White,25,Male,Marvinfort,Kentucky,USA,866-460-2234x5007,mwu@example.net,Low,No,REG5440
